History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[6, 0], [7, 3], [4, 6], [7, 6]], [1, 0, 1, 0], [[7, 1], [8, 2], [5, 5], [7, 4]], [4, 2, 4, 1], [[7, 1], [8, 3], [5, 5], [8, 5]], [4, 3, 4, 3], [[7, 1], [7, 3], [5, 5], [7, 6]], [4, 1, 4, 0], [[7, 1], [9, 3], [5, 5], [7, 5]], [4, 3, 4, 0], [[7, 1], [8, 3], [5, 5], [7, 4]]]","[0.145, 0.049, 0.122, 0.049, 0.125]",29.636877212673426,"[0.083, 0.001, 0.052, 0.001, 0.08]",19.840597741305828,"[0.0, 0.0, 0.051, 0.0, 0.083]",8.074160296469927,"[0.0, 0.0, 0.117, 0.0, 0.147]",2.7389560900628567,"[0.0, 0.0, 0.0, 0.0, 0.025]",0.8496610373258591,0.12400403219250573,0.1806432949212342,0.16228370220080635,0.22519103001673935
"[[[8, 7], [9, 3], [2, 3], [0, 6]], [2, 3, 4, 1], [[7, 8], [8, 2], [2, 3], [2, 6]], [1, 4, 4, 2], [[9, 8], [8, 2], [2, 3], [2, 8]], [3, 4, 4, 4], [[7, 8], [8, 2], [2, 3], [2, 8]], [1, 4, 4, 4], [[8, 7], [8, 2], [2, 3], [2, 8]], [2, 4, 4, 4], [[8, 8], [8, 2], [2, 3], [2, 8]]]","[0.153, 0.146, 0.068, 0.146, 0.13]",26.932197608053684,"[0.135, 0.15, 0.066, 0.15, 0.139]",18.324257254600525,"[0.119, 0.19, 0.014, 0.19, 0.128]",7.589481182396412,"[0.14, 0.185, 0.0, 0.185, 0.105]",2.5543476082384586,"[0.175, 0.175, 0.0, 0.175, 0.1]",0.7879369966685772,0.020999999999999994,0.0891515563520907,0.09197825830053535,0.087692645073575
"[[[0, 3], [2, 9], [3, 8], [3, 3]], [1, 2, 1, 4], [[2, 3], [2, 9], [4, 9], [3, 3]], [4, 0, 0, 1], [[2, 3], [2, 7], [4, 7], [4, 2]], [4, 4, 1, 0], [[2, 3], [2, 7], [5, 6], [5, 1]], [4, 4, 0, 1], [[2, 3], [2, 7], [5, 5], [6, 0]], [4, 4, 4, 1], [[2, 3], [2, 7], [5, 5], [8, 0]]]","[0.345, 0.092, 0.294, 0.086, 0.088]",28.360876597464085,"[0.312, 0.07, 0.25, 0.07, 0.07]",19.16535134986043,"[0.361, 0.048, 0.108, 0.048, 0.048]",7.931221764534712,"[0.37, 0.0, 0.075, 0.0, 0.0]",2.786745563149452,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.8597435429692268,0.06394528911499263,0.19957955807146183,0.26868196813333045,0.3620290043629101
"[[[8, 7], [4, 5], [9, 3], [8, 0]], [2, 1, 3, 3], [[8, 9], [5, 6], [8, 2], [7, 0]], [0, 0, 2, 3], [[8, 8], [6, 5], [8, 4], [6, 0]], [4, 3, 4, 1], [[8, 8], [5, 6], [8, 4], [7, 0]], [4, 0, 4, 2], [[8, 8], [5, 4], [8, 4], [8, 1]], [4, 4, 4, 4], [[8, 8], [5, 4], [8, 4], [8, 1]]]","[0.254, 0.094, 0.338, 0.338, 0.338]",26.833538882434368,"[0.23, 0.093, 0.318, 0.318, 0.318]",18.0187134668231,"[0.172, 0.025, 0.11, 0.11, 0.11]",7.163383327424526,"[0.15, 0.025, 0.11, 0.11, 0.11]",2.4616909362375736,"[0.1, 0.025, 0.1, 0.1, 0.1]",0.7624125182628632,0.042154477816716,0.40919066460514475,0.41416059687034457,0.4454312517100703
"[[[1, 4], [9, 2], [8, 3], [8, 0]], [1, 2, 2, 3], [[3, 4], [9, 4], [8, 5], [7, 0]], [0, 0, 3, 2], [[3, 2], [9, 2], [7, 5], [7, 1]], [4, 2, 0, 4], [[3, 2], [9, 4], [7, 4], [7, 1]], [4, 0, 3, 4], [[3, 2], [9, 2], [6, 5], [7, 1]], [4, 2, 4, 4], [[3, 2], [9, 3], [6, 5], [7, 1]]]","[0.078, 0.12, 0.101, 0.128, 0.128]",27.352948989719152,"[0.06, 0.108, 0.084, 0.056, 0.056]",18.496143460273743,"[0.077, 0.066, 0.076, 0.05, 0.05]",7.552988953888416,"[0.075, 0.075, 0.05, 0.05, 0.05]",2.545975912362337,"[0.075, 0.075, 0.05, 0.05, 0.05]",0.783042386174202,0.10547511554864494,0.12533953885346794,0.1296263862028098,0.1296263862028098
"[[[0, 5], [6, 4], [6, 1], [9, 1]], [1, 3, 1, 3], [[1, 6], [5, 5], [7, 1], [8, 1]], [4, 4, 4, 2], [[1, 6], [5, 5], [7, 1], [7, 2]], [4, 4, 4, 2], [[1, 6], [5, 5], [7, 1], [7, 3]], [4, 4, 4, 1], [[1, 6], [5, 5], [7, 1], [8, 4]], [4, 4, 4, 4], [[1, 6], [5, 5], [7, 1], [8, 4]]]","[0.217, 0.095, 0.095, 0.095, 0.095]",28.16637234762311,"[0.216, 0.069, 0.069, 0.069, 0.069]",19.2825830206275,"[0.204, 0.005, 0.005, 0.005, 0.005]",7.807420153170824,"[0.2, 0.0, 0.0, 0.0, 0.0]",2.63595088198781,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.8041011765599251,0.05200961449578336,0.18046883387443938,0.1907590102721232,0.1907590102721232
"[[[5, 4], [8, 4], [8, 9], [3, 7]], [4, 4, 0, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]]]","[0.089, 0.089, 0.089, 0.089, 0.089]",27.82594085857272,"[0.075, 0.075, 0.075, 0.075, 0.075]",18.768701024353504,"[0.075, 0.075, 0.075, 0.075, 0.075]",7.557006776332855,"[0.075, 0.075, 0.075, 0.075, 0.075]",2.577133510261774,"[0.075, 0.075, 0.075, 0.075, 0.075]",0.7848105169832706,0.03130495168499705,0.03130495168499705,0.03130495168499705,0.03130495168499705
"[[[7, 8], [6, 0], [4, 6], [3, 1]], [1, 1, 1, 4], [[8, 9], [7, 1], [5, 7], [3, 1]], [0, 4, 0, 4], [[8, 8], [7, 1], [5, 5], [3, 1]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [3, 1]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [3, 1]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [3, 1]]]","[0.166, 0.094, 0.338, 0.338, 0.338]",25.519556611776352,"[0.17, 0.093, 0.318, 0.318, 0.318]",17.37530989944935,"[0.186, 0.025, 0.11, 0.11, 0.11]",7.075294863432646,"[0.185, 0.025, 0.11, 0.11, 0.11]",2.402782216668129,"[0.175, 0.025, 0.1, 0.1, 0.1]",0.745267815887928,0.03488552708502485,0.4013888389081092,0.401340254646852,0.4180598043342603
"[[[7, 6], [1, 5], [6, 7], [5, 6]], [0, 2, 1, 3], [[7, 5], [1, 6], [7, 6], [3, 6]], [0, 4, 2, 1], [[7, 3], [1, 6], [7, 8], [4, 6]], [0, 4, 1, 1], [[7, 2], [1, 6], [9, 8], [6, 6]], [4, 4, 3, 3], [[7, 2], [1, 6], [8, 9], [5, 5]], [4, 4, 0, 4], [[7, 2], [1, 6], [8, 7], [5, 5]]]","[0.244, 0.236, 0.068, 0.038, 0.033]",27.018974263221025,"[0.242, 0.236, 0.082, 0.046, 0.036]",18.280150081962347,"[0.206, 0.238, 0.072, 0.025, 0.025]",7.351324737071991,"[0.215, 0.25, 0.09, 0.025, 0.025]",2.5309517569839954,"[0.2, 0.25, 0.0, 0.025, 0.025]",0.777838584035635,0.016522711641858305,0.041194659848091966,0.041880783182743846,0.08360023923410745
"[[[0, 2], [8, 8], [5, 5], [8, 4]], [3, 4, 4, 4], [[0, 1], [8, 8], [5, 5], [8, 4]], [2, 4, 4, 4], [[0, 2], [8, 8], [5, 5], [8, 4]], [3, 4, 4, 4], [[0, 3], [8, 8], [5, 5], [8, 4]], [1, 4, 4, 4], [[1, 4], [8, 8], [5, 5], [8, 4]], [1, 4, 4, 4], [[2, 3], [8, 8], [5, 5], [8, 4]]]","[0.16, 0.177, 0.16, 0.322, 0.079]",25.758333913981915,"[0.176, 0.181, 0.176, 0.32, 0.068]",17.304988268762827,"[0.197, 0.246, 0.197, 0.338, 0.075]",6.96254413574934,"[0.2, 0.25, 0.2, 0.35, 0.075]",2.396486457437277,"[0.3, 0.3, 0.3, 0.2, 0.075]",0.7325461842119694,0.02555386467836126,0.08815327560561775,0.09658674857349739,0.263114043714888
"[[[0, 3], [2, 8], [6, 5], [3, 3]], [1, 4, 4, 4], [[1, 4], [2, 8], [6, 5], [3, 3]], [2, 4, 4, 0], [[1, 5], [2, 8], [6, 5], [3, 1]], [2, 4, 4, 4], [[2, 6], [2, 8], [6, 5], [3, 1]], [3, 4, 4, 4], [[1, 7], [2, 8], [6, 5], [3, 1]], [0, 1, 4, 4], [[1, 6], [3, 7], [6, 5], [3, 1]]]","[0.322, 0.148, 0.211, 0.232, 0.248]",25.36228308826685,"[0.269, 0.152, 0.207, 0.245, 0.315]",16.994287073612213,"[0.281, 0.136, 0.183, 0.279, 0.4]",7.1670960783958435,"[0.22, 0.12, 0.17, 0.255, 0.44]",2.40599487349391,"[0.2, 0.125, 0.15, 0.225, 0.45]",0.7441068924963474,0.08659676668328904,0.16709877318520328,0.22419188210102525,0.24492243670190775
"[[[5, 3], [4, 5], [3, 2], [2, 9]], [1, 2, 4, 0], [[7, 3], [4, 6], [3, 2], [1, 8]], [0, 1, 4, 0], [[8, 2], [6, 6], [3, 2], [1, 7]], [4, 3, 4, 0], [[8, 2], [4, 6], [3, 2], [1, 5]], [4, 1, 4, 2], [[8, 2], [5, 6], [3, 2], [2, 6]], [4, 0, 4, 2], [[8, 2], [5, 5], [3, 2], [2, 8]]]","[0.115, 0.07, 0.002, 0.002, 0.002]",28.79354491457343,"[0.103, 0.083, 0.0, 0.0, 0.0]",19.437553819268942,"[0.1, 0.072, 0.0, 0.0, 0.0]",7.853038236498833,"[0.1, 0.09, 0.0, 0.0, 0.0]",2.658275291323662,"[0.1, 0.0, 0.0, 0.0, 0.0]",0.8171704150736332,0.018027756377319952,0.015524174696260022,0.025238858928247915,0.0716728679487573
"[[[4, 6], [1, 3], [6, 7], [9, 5]], [2, 1, 0, 0], [[4, 8], [2, 4], [7, 6], [9, 3]], [4, 0, 0, 3], [[4, 8], [1, 3], [7, 4], [7, 3]], [4, 1, 3, 0], [[4, 8], [2, 3], [5, 4], [7, 2]], [4, 4, 2, 4], [[4, 8], [2, 3], [5, 6], [7, 2]], [4, 4, 0, 4], [[4, 8], [2, 3], [5, 5], [7, 2]]]","[0.234, 0.124, 0.076, 0.1, 0.1]",27.067573223263025,"[0.205, 0.069, 0.063, 0.109, 0.106]",18.232018440961838,"[0.17, 0.065, 0.053, 0.05, 0.05]",7.391527879983187,"[0.15, 0.065, 0.05, 0.05, 0.05]",2.5084370858967304,"[0.15, 0.05, 0.05, 0.05, 0.05]",0.7714116051793098,0.06443601477434806,0.11448143954370944,0.1273302791954844,0.13493702234746402
"[[[7, 1], [8, 0], [8, 4], [1, 6]], [2, 0, 4, 4], [[7, 3], [8, 0], [8, 4], [1, 6]], [0, 3, 4, 4], [[7, 1], [7, 0], [8, 4], [1, 6]], [2, 1, 4, 4], [[8, 2], [8, 1], [8, 4], [1, 6]], [3, 4, 4, 4], [[7, 3], [8, 1], [8, 4], [1, 6]], [3, 4, 4, 4], [[6, 4], [8, 1], [8, 4], [1, 6]]]","[0.165, -0.279, 0.178, 0.43, 0.21]",25.077091846615076,"[0.167, -0.258, 0.228, 0.449, 0.185]",17.17677179351449,"[0.125, -0.255, 0.214, 0.413, 0.165]",6.955662105232477,"[0.16, -0.21, 0.215, 0.432, 0.155]",2.3948653489351273,"[0.275, -0.225, 0.25, 0.4, 0.15]",0.7544420026242733,0.06269768735766897,0.07606576102294646,0.09583318840568754,0.15716233645501712
"[[[5, 7], [0, 1], [3, 2], [0, 5]], [0, 2, 4, 1], [[5, 6], [0, 2], [3, 2], [1, 4]], [0, 4, 4, 2], [[5, 5], [0, 2], [3, 2], [1, 5]], [4, 3, 4, 2], [[5, 5], [0, 2], [3, 2], [1, 7]], [4, 3, 4, 0], [[5, 5], [0, 3], [3, 2], [0, 6]], [4, 1, 4, 1], [[5, 5], [1, 4], [3, 2], [1, 7]]]","[0.177, 0.015, 0.048, 0.048, 0.048]",27.783766217529774,"[0.182, 0.019, 0.039, 0.039, 0.039]",18.681137707084417,"[0.155, 0.0, 0.025, 0.025, 0.025]",7.503806881606579,"[0.155, 0.0, 0.025, 0.025, 0.025]",2.5636833161115646,"[0.15, 0.0, 0.025, 0.025, 0.025]",0.7893360927700996,0.01685229954635272,0.047916594202843756,0.047916594202843756,0.05040833264451424
"[[[7, 3], [3, 8], [2, 1], [9, 8]], [0, 4, 1, 3], [[7, 2], [3, 8], [3, 2], [8, 7]], [4, 4, 4, 2], [[7, 2], [3, 8], [3, 2], [8, 9]], [4, 4, 4, 0], [[7, 2], [3, 8], [3, 2], [8, 8]], [4, 4, 4, 4], [[7, 2], [3, 8], [3, 2], [8, 8]], [4, 4, 4, 4], [[7, 2], [3, 8], [3, 2], [8, 8]]]","[0.004, 0.025, 0.025, 0.025, 0.025]",27.783244840800762,"[0.0, 0.025, 0.025, 0.025, 0.025]",18.704487793147564,"[0.0, 0.025, 0.025, 0.025, 0.025]",7.869076889008284,"[0.0, 0.025, 0.025, 0.025, 0.025]",2.622376136481762,"[0.0, 0.025, 0.025, 0.025, 0.025]",0.7910512946546078,0.004,0.004,0.004,0.004
"[[[9, 3], [1, 7], [8, 2], [5, 9]], [2, 0, 0, 3], [[9, 5], [1, 6], [8, 1], [4, 9]], [0, 4, 4, 0], [[9, 3], [1, 6], [8, 1], [4, 8]], [3, 4, 4, 4], [[8, 3], [1, 6], [8, 1], [4, 8]], [2, 4, 4, 4], [[8, 5], [1, 6], [8, 1], [4, 8]], [0, 4, 4, 4], [[8, 3], [1, 6], [8, 1], [4, 8]]]","[0.022, 0.18, 0.091, 0.103, 0.13]",27.82153257727623,"[0.032, 0.193, 0.142, 0.112, 0.14]",18.66194375604391,"[0.064, 0.125, 0.064, 0.1, 0.075]",7.588214758783579,"[0.112, 0.125, 0.112, 0.137, 0.075]",2.605977762490511,"[0.0, 0.125, 0.0, 0.075, 0.075]",0.7928900681436062,0.0552358579185659,0.09247702417357513,0.1254870511248073,0.12489595669996686
"[[[1, 4], [8, 9], [6, 5], [7, 9]], [1, 0, 4, 1], [[2, 5], [9, 8], [6, 5], [9, 9]], [3, 0, 4, 3], [[1, 5], [9, 6], [6, 5], [8, 9]], [2, 0, 4, 0], [[0, 6], [8, 5], [6, 5], [8, 8]], [1, 0, 3, 4], [[2, 6], [8, 4], [5, 4], [8, 8]], [2, 4, 4, 4], [[3, 7], [8, 4], [5, 4], [8, 8]]]","[0.089, 0.014, 0.15, 0.199, 0.159]",26.089952785521746,"[0.061, 0.036, 0.142, 0.199, 0.148]",17.64205300435424,"[0.075, 0.025, 0.15, 0.183, 0.125]",7.149477921426296,"[0.075, 0.025, 0.15, 0.175, 0.125]",2.4444474019110203,"[0.075, 0.025, 0.15, 0.175, 0.125]",0.762655932456255,0.03811823710509184,0.04158124577258359,0.04526588119102511,0.04526588119102511
"[[[9, 5], [0, 0], [0, 9], [2, 2]], [0, 3, 1, 1], [[8, 4], [0, 0], [1, 9], [3, 1]], [4, 3, 1, 4], [[8, 4], [0, 0], [2, 8], [3, 1]], [4, 3, 4, 4], [[8, 4], [0, 0], [2, 8], [3, 1]], [4, 3, 4, 4], [[8, 4], [0, 1], [2, 8], [3, 1]], [4, 2, 4, 4], [[8, 4], [1, 2], [2, 8], [3, 1]]]","[0.17, 0.105, 0.105, 0.105, 0.105]",27.33404553309083,"[0.181, 0.108, 0.108, 0.108, 0.108]",18.688220974057913,"[0.125, 0.1, 0.1, 0.1, 0.1]",7.4456601701676846,"[0.125, 0.1, 0.1, 0.1, 0.1]",2.5519964024424553,"[0.125, 0.1, 0.1, 0.1, 0.1]",0.77947161719203,0.012529964086141654,0.04609772228646444,0.04609772228646444,0.04609772228646444
"[[[4, 4], [0, 5], [8, 8], [9, 6]], [1, 1, 4, 0], [[6, 4], [1, 6], [8, 8], [9, 5]], [3, 4, 4, 0], [[5, 3], [1, 6], [8, 8], [9, 4]], [2, 4, 4, 3], [[5, 4], [1, 6], [8, 8], [8, 5]], [4, 4, 4, 0], [[5, 4], [1, 6], [8, 8], [8, 4]], [4, 4, 4, 4], [[5, 4], [1, 6], [8, 8], [8, 4]]]","[0.133, 0.047, 0.124, 0.09, 0.09]",27.5994311273098,"[0.13, 0.013, 0.102, 0.076, 0.076]",18.513056438416243,"[0.125, 0.0, 0.1, 0.075, 0.075]",7.553366884589195,"[0.125, 0.0, 0.1, 0.075, 0.075]",2.5564921274781227,"[0.125, 0.0, 0.1, 0.075, 0.075]",0.7867394015192986,0.04517742799230607,0.05743692192309752,0.05743692192309752,0.05743692192309752
"[[[9, 8], [3, 0], [1, 5], [4, 8]], [3, 2, 2, 4], [[8, 9], [3, 2], [2, 6], [4, 8]], [0, 4, 3, 4], [[9, 8], [3, 2], [1, 5], [4, 8]], [3, 4, 2, 4], [[8, 9], [3, 2], [1, 7], [4, 8]], [0, 4, 0, 4], [[8, 7], [3, 2], [2, 6], [4, 8]], [2, 4, 3, 4], [[8, 8], [3, 2], [1, 5], [4, 8]]]","[0.053, 0.094, 0.053, 0.094, 0.092]",28.325289953500032,"[0.041, 0.093, 0.041, 0.093, 0.084]",18.959782868623734,"[0.0, 0.025, 0.0, 0.025, 0.105]",7.708069518208504,"[0.0, 0.025, 0.0, 0.025, 0.105]",2.614360861480236,"[0.0, 0.025, 0.0, 0.025, 0.1]",0.8020054027438164,0.018814887722226774,0.12372954376380768,0.12372954376380768,0.12330450113438682
"[[[0, 9], [0, 3], [0, 2], [8, 8]], [1, 1, 4, 4], [[1, 9], [1, 4], [0, 2], [8, 8]], [1, 2, 4, 4], [[2, 9], [1, 6], [0, 2], [8, 8]], [0, 4, 3, 4], [[1, 8], [1, 6], [0, 3], [8, 8]], [1, 4, 1, 4], [[2, 7], [1, 6], [1, 3], [8, 8]], [1, 4, 1, 4], [[3, 7], [1, 6], [2, 2], [8, 8]]]","[0.188, 0.187, 0.078, 0.241, 0.185]",25.826755549758673,"[0.219, 0.163, 0.097, 0.225, 0.192]",17.335945643484592,"[0.332, 0.264, 0.164, 0.262, 0.204]",7.018991615623236,"[0.418, 0.183, 0.3, 0.192, 0.247]",2.4307697229087353,"[0.7, -0.075, 0.45, 0.025, 0.375]",0.7482700906693935,0.046936126810805334,0.1867163624324339,0.3293098844553561,0.7429185688889463
"[[[4, 5], [6, 3], [7, 5], [2, 3]], [2, 1, 3, 0], [[3, 6], [7, 2], [6, 5], [2, 1]], [3, 4, 4, 1], [[2, 5], [7, 2], [6, 5], [3, 2]], [3, 4, 4, 4], [[1, 6], [7, 2], [6, 5], [3, 2]], [4, 4, 4, 4], [[1, 6], [7, 2], [6, 5], [3, 2]], [4, 4, 4, 4], [[1, 6], [7, 2], [6, 5], [3, 2]]]","[0.334, 0.122, 0.088, 0.086, 0.086]",28.138729572296143,"[0.304, 0.117, 0.082, 0.058, 0.058]",18.885767690837383,"[0.302, 0.116, 0.07, 0.005, 0.005]",7.792377106845379,"[0.255, 0.122, 0.062, 0.0, 0.0]",2.68606248870492,"[0.175, 0.1, 0.025, 0.0, 0.0]",0.8009336739778519,0.050289163842720634,0.12044085685513864,0.14733974345029924,0.21101184800858933
"[[[7, 1], [5, 1], [6, 1], [2, 6]], [1, 3, 0, 2], [[8, 0], [4, 0], [5, 0], [3, 7]], [3, 3, 1, 4], [[7, 1], [3, 1], [6, 1], [3, 7]], [1, 4, 4, 4], [[8, 0], [3, 1], [6, 1], [3, 7]], [3, 4, 0, 4], [[7, 0], [3, 1], [6, 0], [3, 7]], [2, 4, 3, 4], [[7, 2], [3, 1], [5, 1], [3, 7]]]","[-0.034, 0.048, 0.072, 0.217, -0.036]",26.236333191394806,"[-0.022, 0.039, 0.073, 0.176, -0.04]",17.776889592409134,"[-0.025, -0.041, 0.109, 0.17, 0.086]",7.216153863817453,"[-0.11, -0.047, 0.07, 0.293, 0.105]",2.551872156560421,"[-0.15, 0.0, 0.075, 0.325, 0.15]",0.7949371673166752,0.04385202389856141,0.16267759526130204,0.20115168405956732,0.2490562185531612
"[[[4, 7], [8, 2], [1, 5], [7, 0]], [4, 2, 2, 3], [[4, 7], [7, 3], [1, 7], [6, 0]], [4, 0, 0, 1], [[4, 7], [8, 2], [2, 6], [7, 0]], [4, 2, 3, 3], [[4, 7], [7, 3], [1, 7], [6, 0]], [4, 0, 0, 1], [[4, 7], [7, 1], [1, 6], [8, 0]], [4, 2, 4, 0], [[4, 7], [7, 2], [1, 6], [8, 0]]]","[0.032, 0.039, 0.032, 0.039, 0.039]",29.02674664184451,"[0.043, 0.037, 0.043, 0.037, 0.034]",19.516039106994867,"[0.004, 0.004, 0.004, 0.004, 0.007]",7.906283862888813,"[0.01, 0.0, 0.01, 0.0, 0.01]",2.7408070899546146,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8566506765782833,0.016583123951776992,0.07100704190430693,0.0696491205974634,0.08130805618141415
"[[[7, 4], [5, 4], [4, 4], [0, 2]], [1, 2, 4, 3], [[9, 4], [6, 5], [4, 4], [0, 2]], [3, 4, 1, 3], [[7, 4], [6, 5], [5, 5], [0, 3]], [1, 2, 4, 1], [[8, 5], [6, 7], [5, 5], [1, 4]], [0, 1, 0, 1], [[8, 4], [7, 8], [5, 4], [2, 3]], [4, 1, 4, 4], [[8, 4], [9, 8], [5, 4], [2, 3]]]","[0.039, 0.106, 0.033, 0.147, 0.123]",28.550685815513134,"[0.059, 0.061, 0.044, 0.166, 0.135]",19.279405422508717,"[0.048, 0.156, 0.029, 0.105, 0.104]",7.794447097927332,"[0.062, 0.225, 0.042, 0.135, 0.11]",2.6457853578031063,"[0.05, 0.325, 0.1, 0.2, 0.125]",0.8128521144390106,0.05523585791856591,0.06871681017043792,0.12281693694275232,0.23533805472128816
"[[[2, 2], [6, 4], [0, 2], [9, 6]], [1, 3, 3, 0], [[4, 2], [5, 3], [0, 3], [9, 4]], [3, 2, 1, 3], [[3, 3], [5, 5], [2, 3], [7, 4]], [0, 2, 4, 1], [[3, 2], [4, 6], [2, 3], [8, 5]], [0, 1, 4, 0], [[3, 1], [6, 6], [2, 3], [8, 3]], [4, 3, 4, 4], [[3, 1], [5, 7], [2, 3], [8, 3]]]","[0.15, 0.101, 0.488, 0.394, 0.314]",26.09918523952365,"[0.127, 0.063, 0.489, 0.405, 0.291]",17.54958624020219,"[0.125, 0.041, 0.52, 0.407, 0.116]",7.060330547392368,"[0.125, 0.045, 0.56, 0.497, 0.145]",2.4037183299660683,"[0.125, 0.025, 0.5, 0.55, 0.25]",0.75850835070014,0.0512249938994628,0.21123920090740736,0.21935131638538213,0.18702138915108082
"[[[1, 3], [2, 6], [7, 4], [6, 3]], [1, 2, 1, 2], [[2, 2], [2, 8], [9, 4], [7, 4]], [1, 4, 0, 3], [[3, 3], [2, 8], [9, 3], [6, 5]], [4, 4, 3, 4], [[3, 3], [2, 8], [8, 2], [6, 5]], [4, 4, 4, 4], [[3, 3], [2, 8], [8, 2], [6, 5]], [4, 4, 4, 4], [[3, 3], [2, 8], [8, 2], [6, 5]]]","[0.286, 0.056, 0.156, 0.147, 0.147]",26.775809984654188,"[0.276, 0.111, 0.172, 0.166, 0.166]",17.999198872596025,"[0.254, 0.114, 0.158, 0.156, 0.156]",7.304021917283535,"[0.26, 0.115, 0.17, 0.175, 0.175]",2.483543775975704,"[0.2, 0.1, 0.15, 0.15, 0.15]",0.7636589147150517,0.06405466415492317,0.06748333127521194,0.07694803441284254,0.09688137075826288
"[[[4, 3], [0, 0], [6, 6], [1, 7]], [2, 3, 3, 0], [[3, 4], [0, 0], [4, 6], [1, 5]], [0, 3, 2, 2], [[3, 2], [0, 0], [5, 7], [1, 7]], [4, 3, 0, 0], [[3, 2], [0, 1], [5, 5], [1, 6]], [4, 2, 4, 4], [[3, 2], [0, 3], [5, 5], [1, 6]], [4, 1, 4, 4], [[3, 2], [1, 4], [5, 5], [1, 6]]]","[0.159, 0.012, 0.187, -0.208, -0.132]",27.15687009319663,"[0.115, 0.044, 0.147, 0.204, -0.329]",18.512559302151203,"[0.032, 0.09, 0.139, 0.088, 0.082]",7.406714975833893,"[-0.01, 0.09, 0.115, 0.05, 0.05]",2.5452402904629707,"[0.025, 0.1, 0.05, 0.05, 0.05]",0.7767916694283485,0.4616416359038686,0.3974028183090804,0.3735197451273493,0.3796801285292661
"[[[8, 1], [3, 7], [1, 5], [2, 9]], [4, 1, 2, 1], [[8, 1], [5, 7], [1, 7], [3, 8]], [4, 0, 0, 4], [[8, 1], [6, 6], [1, 6], [3, 8]], [4, 3, 4, 1], [[8, 1], [4, 6], [1, 6], [4, 8]], [4, 1, 4, 4], [[8, 1], [5, 7], [1, 6], [4, 8]], [4, 0, 4, 4], [[8, 1], [5, 6], [1, 6], [4, 8]]]","[0.004, 0.004, 0.004, 0.004, 0.004]",29.023621160537004,"[0.0, 0.0, 0.0, 0.0, 0.0]",19.439271733164787,"[0.0, 0.0, 0.0, 0.0, 0.0]",7.945577248930931,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.6878935024142265,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8339481502771378,0.00894427190999916,0.00894427190999916,0.00894427190999916,0.00894427190999916
"[[[1, 7], [3, 8], [4, 7], [9, 8]], [0, 4, 1, 3], [[0, 6], [3, 8], [6, 7], [8, 9]], [1, 4, 0, 1], [[2, 6], [3, 8], [6, 5], [9, 9]], [3, 4, 4, 3], [[1, 5], [3, 8], [6, 5], [8, 9]], [2, 4, 4, 0], [[1, 6], [3, 8], [6, 5], [7, 8]], [4, 1, 4, 1], [[1, 6], [4, 7], [6, 5], [9, 8]]]","[0.298, 0.152, 0.15, 0.119, 0.224]",26.39790177345276,"[0.217, 0.163, 0.159, 0.105, 0.209]",17.759968366473913,"[0.224, 0.203, 0.254, 0.15, 0.046]",7.180629465728998,"[0.225, 0.175, 0.232, 0.15, 0.015]",2.4559005796909332,"[0.225, 0.175, 0.225, 0.15, 0.025]",0.7637921273708344,0.08475848040166836,0.22701982292302142,0.23921538412067064,0.22813373270956666
"[[[1, 4], [6, 4], [5, 8], [3, 7]], [1, 3, 0, 3], [[2, 5], [5, 4], [6, 7], [2, 6]], [0, 4, 0, 2], [[2, 4], [5, 4], [6, 6], [2, 7]], [0, 4, 4, 4], [[2, 2], [5, 4], [6, 6], [2, 7]], [1, 4, 4, 4], [[4, 2], [5, 4], [6, 6], [2, 7]], [3, 1, 4, 4], [[3, 2], [7, 4], [6, 6], [2, 7]]]","[0.072, 0.278, 0.256, 0.126, 0.082]",26.480737444013357,"[0.058, 0.28, 0.244, 0.112, 0.06]",17.778669476509094,"[0.078, 0.197, 0.181, 0.118, 0.063]",7.153001945465803,"[0.075, 0.225, 0.175, 0.125, 0.105]",2.4630700536072254,"[0.075, 0.225, 0.175, 0.125, 0.175]",0.7527853585779667,0.032,0.11245888137448284,0.09954396013822236,0.13427211177307075
