History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [-1, -1, -1, 1, 0, 0, 0]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [-1, -1, -1, 1, 0, 0, 1]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, 0, 0, 1]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, 0, 0, 1]], 6, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, -1, 0, -1, 0, 0, 1], [0, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, 0, 0, 1]], 6, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, -1], [0, 1, 0, 1, 0, 0, 1], [0, -1, 0, -1, 0, 0, 1], [0, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, 0, 0, 1]]]","[0.09219, 0.22263, 0.10916, 0.09659, 0.02007]",16.70952414860949,"[0.09219, 0.22263, 0.10916, 0.09659, 0.02007]",16.504287627059966,"[0.20003, 0.2782, 0.08963, 0.10301, 0.01593]",5.502034361008555,"[-0.05782, 0.36338, 0.14569, 0.09354, 0.00556]",1.4370685182511806,"[0.0, -0.21429, -0.2619, 0.0754, 0.0]",0.32388971792533994,"[0.0, -0.21429, -0.2619, 0.0754, 0.0]",0.32444001361727715,"[0.10417, 0.14881, -0.05655, 0.12698, 0.025]",0.9558768663555384,"[0.09788, 0.21781, 0.04674, 0.14095, 0.03827]",2.4180998979136348,"[0.11868, 0.20126, 0.09301, 0.10727, 0.03594]",4.896295425947756,1.0,0.8623534081424462,0.7658316681850426,0.35006209229265606,0.35006209229265606,0.7938429788365189,0.9116051860966946,0.9527620544477218
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [0, -1, -1, 1, -1, 1, 1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 1, 1, 0], [-1, -1, -1, 1, -1, 1, 1]]]","[0.03965, 0.11451, 0.16956, 0.22282, 0.0164]",21.588919701054692,"[0.03965, 0.11451, 0.16956, 0.22282, 0.0164]",21.2725057057105,"[-0.05048, 0.18618, 0.13284, 0.24705, 0.01493]",6.976391386240721,"[0.01361, 0.03118, 0.10941, 0.26644, 0.03118]",1.6760227838531137,"[-0.04762, 0.07143, -0.09524, 0.30952, 0.0]",0.366055176127702,"[-0.04762, 0.07143, -0.09524, 0.30952, 0.0]",0.3655538819730282,"[0.04762, -0.00595, 0.13393, 0.29762, 0.0119]",1.1514688609167933,"[0.07143, 0.11552, 0.14462, 0.29101, 0.01058]",2.9043414960615337,"[0.07812, 0.16667, 0.12909, 0.26079, 0.01228]",6.079534605611116,1.0,0.8621703134299435,0.8707659787439855,0.6695139388340259,0.6695139388340259,0.836220730096877,0.9111409782295574,0.9044939615783378
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, -1, -1, 1, 1, 0, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, -1, 0, 1, -1, 0, 0], [0, -1, -1, 1, 1, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0], [0, -1, -1, 1, -1, 0, 0], [0, -1, -1, 1, 1, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, -1, 0, 0], [0, 1, 1, 1, 1, 0, 0], [0, -1, -1, 1, -1, 0, 0], [0, -1, -1, 1, 1, 0, 0]]]","[0.19263, -0.00664, 0.09932, 0.02761, 0.11348]",26.73407517001033,"[0.19263, -0.00664, 0.09932, 0.02761, 0.11348]",26.13578148279339,"[0.23664, -0.02168, -0.01653, -0.0694, 0.12099]",7.830385976936668,"[0.31633, 0.01644, -0.03231, 0.03288, 0.11565]",1.8651137291453779,"[0.54762, -0.14286, 0.35714, 0.30952, 0.11905]",0.38523420691490173,"[0.54762, -0.14286, 0.35714, 0.30952, 0.11905]",0.38756708800792694,"[0.39583, 0.03274, 0.17262, -0.03869, 0.11905]",1.2881242288276553,"[0.32451, -0.02469, 0.17108, 0.0, 0.13051]",3.2742710299789906,"[0.29055, 0.02753, 0.1276, 0.02455, 0.12426]",7.0513527020812035,1.0,0.8230408083766203,0.7963050224600519,0.3973504190866801,0.3973504190866801,0.7434833599452074,0.8270839528123546,0.8791630970067504
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 1, 0], [0, -1, -1, 1, -1, 1, 1]], 2, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, -1, 1, 1]], 4, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [-1, -1, 1, 1, 1, 1, 0], [-1, -1, -1, 1, -1, 1, 1]]]","[0.11451, 0.16956, 0.22282, 0.12302, 0.0]",13.41504636919126,"[0.11451, 0.16956, 0.22282, 0.12302, 0.0]",13.20214830385521,"[0.18618, 0.13284, 0.24705, 0.12302, 0.0]",4.509628874249756,"[0.03118, 0.10941, 0.26644, 0.12302, 0.0]",1.1406433577649295,"[0.07143, -0.09524, 0.30952, 0.11905, 0.0]",0.27189247077330947,"[0.07143, -0.09524, 0.30952, 0.11905, 0.0]",0.267029317561537,"[-0.00595, 0.13393, 0.29762, 0.11905, 0.0]",0.7666470617987216,"[0.11552, 0.14462, 0.29101, 0.12698, 0.0]",1.9024269869551063,"[0.16667, 0.12909, 0.26079, 0.125, 0.0]",3.8663104847073555,1.0,0.9059784585852795,0.875177046381685,0.6847469720605368,0.6847469720605368,0.8364804698208804,0.9186936241737463,0.9148227744640622
"[[[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, -1, -1, 1, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, -1, -1, 1, 0], [0, 0, 0, 1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, 0]], 1, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, -1, -1, 1, 0], [0, 1, -1, 1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, 0]], 1, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 1, -1, -1, -1, 1, 0], [0, 1, -1, 1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, 0]], 1, [[0, 0, 0, 0, 0, -1, 0], [0, 1, -1, 0, 0, 1, 0], [0, 1, -1, -1, -1, 1, 0], [0, 1, -1, 1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, 0]], 1, [[0, 1, 0, 0, 0, -1, 0], [0, 1, -1, 0, 0, 1, 0], [0, 1, -1, -1, -1, 1, 0], [0, 1, -1, 1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, -1]]]","[0.04386, 0.04306, 0.11009, 0.28703, 0.5323]",3.7688883119262755,"[0.04386, 0.04306, 0.11009, 0.28703, 0.5323]",4.082668072078377,"[0.03552, 0.11756, 0.10628, 0.29196, 0.54033]",1.6905077639967203,"[0.03889, -0.08111, 0.08667, 0.24778, 0.56]",0.5753841269761324,"[0.2, 0.23333, 0.26667, 0.2, 0.58667]",0.18822936480864882,"[0.2, 0.23333, 0.26667, 0.2, 0.58667]",0.18867071624845266,"[0.07083, 0.05417, 0.15833, 0.20833, 0.54583]",0.5273281191475689,"[0.08519, 0.04568, 0.28765, 0.3037, 0.51926]",1.2330421269871294,"[0.07708, 0.02917, 0.14635, 0.32795, 0.52135]",2.3581615770235658,1.0,0.9154193617013917,0.8487583113853855,0.6542580682430896,0.6542580682430896,0.8907144708801755,0.7947851205443426,0.9257905245268503
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, -1, 0, 1, 0, 0, 0], [-1, -1, 0, 1, 0, 0, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, -1, 1, -1, 0, 0, 0], [-1, -1, -1, 1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0], [0, -1, 1, -1, 0, 0, 0], [-1, -1, -1, 1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1]], 0, [[0, 0, 0, 0, 0, 0, 0], [0, -1, -1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0], [1, -1, 1, -1, 0, 0, 0], [-1, -1, -1, 1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, -1, -1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0], [1, -1, 1, -1, 0, 0, 0], [-1, -1, -1, 1, 0, 0, 0], [-1, -1, 1, 1, 1, -1, 1]]]","[0.12554, 0.23687, 0.10784, 0.08349, 0.08654]",16.55234231101349,"[0.12554, 0.23687, 0.10784, 0.08349, 0.08654]",16.57569162780419,"[0.06074, 0.30558, 0.09453, 0.0985, 0.0906]",5.703765215352178,"[0.05896, -0.04365, 0.17914, 0.06104, 0.06941]",1.4875335968099535,"[-0.09524, 0.09524, -0.16667, 0.0754, 0.08333]",0.3089334280230105,"[-0.09524, 0.09524, -0.16667, 0.0754, 0.08333]",0.30896545806899667,"[0.08929, 0.09821, 0.03571, 0.08681, 0.06647]",1.0323209697380662,"[0.13316, 0.12434, 0.08818, 0.04056, 0.07451]",2.394110748078674,"[0.1436, 0.19122, 0.06176, 0.0302, 0.09772]",5.409025381319225,1.0,0.8919546165956176,0.666448099615667,0.575390830292138,0.575390830292138,0.8191781875021711,0.8626351268518767,0.903186590546557
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, -1, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 1]], 6, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 1], [0, -1, -1, 1, 0, 0, 1]], 6, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 0, 1], [0, -1, 1, 1, 0, 0, 1], [0, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, -1], [0, -1, 0, 1, 0, 0, 1], [0, 1, 0, -1, 0, 0, 1], [0, -1, 1, 1, 0, 0, 1], [0, -1, -1, 1, -1, 0, 1]]]","[0.03965, 0.15663, 0.08716, 0.06842, 0.03549]",19.774986071046442,"[0.03965, 0.15663, 0.08716, 0.06842, 0.03549]",19.425452677998692,"[-0.05048, 0.31441, 0.11846, 0.10778, 0.0537]",6.364967253990471,"[0.01361, 0.15476, 0.06935, 0.14556, 0.05]",1.5340638030320406,"[-0.04762, 0.04762, 0.15079, 0.16667, 0.06667]",0.33112049801275134,"[-0.04762, 0.04762, 0.15079, 0.16667, 0.06667]",0.331291439011693,"[0.04762, 0.07738, -0.00942, 0.09583, 0.0375]",1.0270473738200963,"[0.07143, 0.14109, 0.03439, 0.10741, 0.04691]",2.6439370778389275,"[0.07812, 0.17522, 0.04991, 0.10625, 0.04479]",5.678731056861579,1.0,0.7882263915167897,0.9053962586627781,0.793320100154853,0.793320100154853,0.856703419440658,0.9156883059712355,0.9231016059985646
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, -1, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, -1, 0], [0, 0, 0, 1, -1, 1, 0], [0, 0, -1, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, -1, 0], [0, 0, 0, 1, 1, -1, 0], [0, 0, 0, 1, -1, 1, 0], [0, 0, -1, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, -1, 1, -1, 0], [0, 0, 0, 1, 1, -1, 0], [0, 0, 0, 1, -1, 1, 0], [-1, 0, -1, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, -1, 1, -1, 0], [0, 0, 0, 1, 1, -1, 0], [-1, 0, 0, 1, -1, 1, 0], [-1, 0, -1, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, -1, 1, 1, 0], [0, 0, 0, -1, 1, -1, 0], [0, 0, 0, 1, 1, -1, 0], [-1, 0, 0, 1, -1, 1, 0], [-1, 0, -1, 1, 1, -1, -1]]]","[0.11471, 0.14417, 0.13873, 0.02523, 0.0]",13.066021973732859,"[0.11471, 0.14417, 0.13873, 0.02523, 0.0]",12.950284997932613,"[0.11647, 0.19107, 0.16656, 0.03092, 0.0]",4.683414196129888,"[-0.03741, 0.01247, 0.23639, 0.05064, 0.0]",1.3332394221797585,"[0.04762, 0.09524, 0.21429, 0.04762, 0.0]",0.2904661218635738,"[0.04762, 0.09524, 0.21429, 0.04762, 0.0]",0.2884952309541404,"[0.03571, -0.02679, 0.23214, 0.04663, 0.0]",0.8797006127424538,"[0.01852, 0.02381, 0.21693, 0.03116, 0.0]",2.1646499899215996,"[0.04799, 0.07924, 0.1942, 0.0302, 0.0]",4.32871389715001,1.0,0.9386649305046452,0.7483342293338245,0.8720066471452521,0.8720066471452521,0.7637487838655639,0.8067079586480602,0.8787096196106221
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 1], [0, -1, 1, 1, 0, -1, -1], [-1, -1, -1, 1, 0, 1, 1]], 5, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 1, 1], [0, -1, 1, 1, 0, -1, -1], [-1, -1, -1, 1, 0, 1, 1]], 5, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, 0, 1, 1], [0, -1, 1, 1, 0, -1, -1], [-1, -1, -1, 1, 0, 1, 1]], 5, [[0, 0, -1, 0, 0, 1, 0], [0, 0, 1, 0, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, -1], [-1, -1, -1, 1, 0, 1, 1]], 0, [[0, 0, -1, 0, 0, 1, 0], [0, 0, 1, 0, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [1, 1, -1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, -1], [-1, -1, -1, 1, -1, 1, 1]], 0, [[0, 0, -1, 0, 0, 1, 0], [0, 0, 1, 0, 0, -1, 0], [1, 0, -1, 1, 0, 1, -1], [1, 1, -1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, -1], [-1, -1, -1, 1, -1, 1, 1]]]","[0.10421, 0.01523, 0.00718, -0.07463, 0.15018]",6.240236725192517,"[0.10421, 0.01523, 0.00718, -0.07463, 0.15018]",6.492275738157332,"[0.47845, -0.027, 0.06219, -0.07775, 0.14717]",2.974108725320548,"[0.17149, 0.26333, -0.17278, -0.0775, 0.17]",0.9156372020952404,"[-0.13095, 0.13333, 0.1, -0.05, 0.0]",0.2239037798717618,"[-0.13095, 0.13333, 0.1, -0.05, 0.0]",0.22299791499972343,"[0.18403, 0.025, 0.00833, 0.0875, 0.15625]",0.6799225378781557,"[0.13859, 0.00494, -0.01111, -0.03148, 0.15741]",1.5753173339180648,"[0.14986, 0.00625, -0.00104, -0.05807, 0.14705]",3.1833451939746737,1.0,0.574435896280008,0.6484554094783992,0.6446409257877321,0.6446409257877321,0.7975432465932539,0.9335113919532075,0.9439178972398502
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0], [0, -1, -1, -1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, 0, 1, 1]], 0, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [-1, 1, 0, 1, 0, 0, 0], [1, -1, -1, -1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, 0, 1, 1]], 0, [[0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [-1, 1, 0, 1, 0, 0, 0], [1, -1, -1, -1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, -1, 1, 1]], 0, [[1, 0, 0, 0, 0, 0, 0], [1, -1, 0, 0, 0, 0, 0], [-1, 1, 0, 1, 0, 0, 0], [1, -1, -1, -1, 0, 0, 0], [-1, -1, 1, 1, 0, 0, 1], [-1, -1, -1, 1, -1, 1, 1]], 4, [[1, -1, 0, 0, 0, 0, 0], [1, -1, 0, 0, 0, 0, 0], [-1, 1, 0, 1, 0, 0, 0], [1, -1, -1, -1, 0, 0, 0], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 1, 1]], 5, [[1, -1, 0, 0, 0, 0, 0], [1, -1, 0, 0, 0, 0, 0], [-1, 1, 0, 1, 0, 0, 0], [1, -1, -1, -1, 0, -1, 0], [-1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, -1, 1, 1]]]","[0.18944, -0.11546, -0.10371, -0.08938, 0.40177]",5.183052526321262,"[0.18944, -0.11546, -0.10371, -0.08938, 0.40177]",5.314737178385258,"[0.18114, -0.14994, -0.13686, -0.08107, 0.41567]",2.2063391087576747,"[0.22222, -0.08333, -0.13424, -0.06867, 0.42]",0.6841695429757237,"[0.38095, 0.09524, -0.07143, 0.22667, 0.45]",0.1861213161610067,"[0.38095, 0.09524, -0.07143, 0.22667, 0.45]",0.18535594502463937,"[0.33631, -0.16964, -0.09821, 0.0275, 0.5375]",0.46692151203751564,"[0.33422, -0.19224, -0.14286, -0.0763, 0.47593]",1.0479438141919672,"[0.2381, -0.1849, -0.20982, -0.10323, 0.43828]",2.1924699200317264,1.0,0.9427838637270918,0.9310780949189592,0.5199917918670556,0.5199917918670556,0.7339640846614879,0.7936631052744081,0.8419895418809248
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, -1, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0], [0, -1, -1, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, -1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 1, 0], [0, -1, -1, 1, 1, -1, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, -1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 1, 1, 1, 0], [-1, -1, -1, 1, 1, -1, -1]]]","[0.11882, 0.13818, 0.16413, 0.0363, 0.04616]",16.022591820918024,"[0.11882, 0.13818, 0.16413, 0.0363, 0.04616]",15.656006698962301,"[0.11546, 0.17699, 0.20707, 0.03497, 0.05388]",5.016046342905611,"[0.03741, 0.12812, 0.24433, 0.02409, 0.0343]",1.1749094109982252,"[0.16667, -0.09524, 0.29365, -0.0, 0.0]",0.2582902410067618,"[0.16667, -0.09524, 0.29365, -0.0, 0.0]",0.2598836412653327,"[0.01488, 0.1131, 0.24256, 0.03522, 0.01042]",0.7943615149706602,"[0.06878, 0.17637, 0.19665, 0.02572, 0.02028]",2.067913666833192,"[0.14583, 0.20015, 0.16115, 0.03398, 0.03813]",4.3295562621206045,1.0,0.9345905530523304,0.8703342016952813,0.6897614125789637,0.6897614125789637,0.8464490764436762,0.9148403051614205,0.9237720138335007
