History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, 0, 1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 2, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 5, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 5, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, 0, -1, 0], [-1, -1, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 5, [[0, 0, -1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, -1, -1, 0], [-1, -1, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, 0]]]","[-0.005, -0.028, -0.008, 0.07, -0.042]",4.291026052087545,"[-0.01, -0.027, -0.004, 0.066, -0.042]",4.294123090803623,"[-0.023, -0.016, -0.017, 0.059, -0.042]",1.5923408046364784,"[-0.014, -0.062, 0.093, -0.028, -0.042]",0.4744696877896786,"[-0.024, -0.048, 0.2, 0.433, -0.3]",0.12517118081450462,0.007615773105863911,0.025884358211089573,0.145058608844839,0.4922986898215351
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 0, 1, 1, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 1, 1, 1, 0, -1], [-1, 0, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 1, 1, 1, 0, -1], [-1, 0, -1, 1, 1, 0, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, -1], [-1, 0, -1, 1, 1, 1, -1]]]","[0.005, 0.024, -0.057, -0.067, 0.072]",17.474188517779112,"[-0.005, 0.011, -0.069, -0.07, 0.072]",16.629821188747883,"[-0.034, -0.017, -0.131, -0.071, 0.072]",5.598876021802425,"[0.04, -0.038, -0.243, -0.109, 0.071]",1.3783171698451042,"[0.119, 0.262, -0.119, -0.286, 0.095]",0.27643969655036926,0.02054263858417414,0.09324162160752032,0.2035436071214225,0.34924776305654415
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 1, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, -1, 1, 1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 1, -1, 1, 1, 0, -1]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, -1, 1, 1, 0, 0], [0, 0, 1, -1, 1, 0, 1], [0, 1, -1, 1, 1, 0, -1]], 2, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, -1, 1, 1, 0, 0], [0, -1, 1, -1, 1, 0, 1], [0, 1, -1, 1, 1, 0, -1]], 6, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, 0, 1], [0, -1, 1, -1, 1, 0, 1], [0, 1, -1, 1, 1, 0, -1]], 6, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 1], [0, -1, -1, 1, 1, 0, 1], [0, -1, 1, -1, 1, 0, 1], [-1, 1, -1, 1, 1, 0, -1]]]","[-0.074, -0.014, -0.077, -0.066, -0.128]",9.016461919993162,"[-0.078, -0.046, -0.12, -0.069, -0.132]",9.1247552447021,"[-0.101, -0.049, -0.037, -0.08, -0.128]",3.278833322227001,"[-0.187, -0.204, 0.065, -0.056, -0.148]",0.8701374679803848,"[0.024, 0.167, 0.071, 0.133, -0.233]",0.18971676751971245,0.05398147830506311,0.06123724356957946,0.26369110716897526,0.33896164974816845
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 1, 0, -1, 0, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, 1, -1, 0, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 4, [[0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, 1, -1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 6, [[0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0], [0, 1, 1, -1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 1], [0, -1, -1, 1, -1, 1, 1]], 6, [[0, 0, 0, -1, 0, 0, 0], [0, -1, 0, -1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0], [0, 1, 1, -1, 1, 1, 1], [0, -1, 1, 1, -1, -1, 1], [0, -1, -1, 1, -1, 1, 1]]]","[-0.001, -0.009, -0.135, -0.205, -0.088]",8.34987547621131,"[-0.0, -0.017, -0.169, -0.195, -0.091]",8.637747660279274,"[0.012, -0.024, -0.202, -0.215, -0.1]",3.624852769076824,"[-0.076, -0.041, -0.083, -0.301, -0.081]",1.204418521374464,"[0.024, 0.02, 0.083, -0.36, -0.433]",0.29360590130090714,0.036469165057620934,0.07160307255977219,0.13644779221372547,0.4382236871735712
"[[[0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 0, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, -1], [0, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 2, [[0, 0, 1, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, -1], [0, 1, 1, 1, 0, 0, -1], [0, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 4, [[0, 0, 1, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, -1], [0, 1, 1, 1, 0, 0, -1], [-1, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 1, [[0, 1, 1, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, -1], [-1, 1, 1, 1, 0, 0, -1], [-1, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, -1, 1, -1, -1, 1]]]","[-0.029, -0.101, -0.033, 0.022, -0.001]",4.0345571637153625,"[-0.049, -0.099, -0.04, 0.023, -0.001]",4.226921696215868,"[-0.087, -0.099, -0.057, 0.008, -0.001]",2.132945202291012,"[-0.16, -0.07, -0.084, -0.018, -0.018]",0.8657191209495068,"[-0.032, -0.123, 0.067, 0.06, -0.187]",0.25018197298049927,0.021307275752662516,0.06434283176858165,0.15037286989347515,0.2157150898755115
"[[[0, 0, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 0, -1, 0, 1, 1], [0, -1, 0, 1, 1, -1, 1], [-1, -1, 0, 1, -1, 1, 1]], 2, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 0, -1, 0, 1, 1], [0, -1, 0, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 5, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, 1, 0, 1, 0, 1, -1], [0, -1, 0, -1, 0, 1, 1], [-1, -1, 0, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 5, [[0, -1, 0, 0, 0, -1, 0], [0, -1, 0, -1, 0, 1, 0], [0, 1, 0, 1, 0, 1, -1], [0, -1, 0, -1, 0, 1, 1], [-1, -1, 0, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 2, [[0, -1, 0, 0, 0, -1, 0], [0, -1, 0, -1, 0, 1, 0], [0, 1, 0, 1, 0, 1, -1], [-1, -1, 0, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 2, [[0, -1, 0, 0, 0, -1, 0], [0, -1, 0, -1, 0, 1, 0], [0, 1, -1, 1, 0, 1, -1], [-1, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]]]","[-0.018, -0.099, -0.102, -0.113, -0.078]",4.18073346093297,"[-0.019, -0.107, -0.114, -0.115, -0.078]",4.343450043350458,"[-0.052, -0.112, -0.131, -0.218, -0.078]",1.929659254848957,"[0.105, -0.294, -0.124, -0.211, -0.111]",0.6605204902589321,"[0.099, -0.093, -0.387, 0.163, -0.25]",0.18238352239131927,0.01459451951932643,0.11485207877961984,0.2536355653294703,0.44800669637852514
"[[[0, -1, 1, 0, 0, 0, 0], [0, -1, -1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0], [0, -1, 1, -1, 1, 0, -1], [0, -1, 1, 1, 1, 0, 1], [0, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 1, 0, 0, 0, 0], [0, -1, -1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 1], [0, -1, 1, -1, 1, 0, -1], [0, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 1, 0, 0, 0, 0], [0, -1, -1, -1, 0, 0, 1], [0, 1, 1, 1, -1, 0, 1], [0, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 1, 0, 0, 0, 1], [0, -1, -1, -1, 0, 0, 1], [0, 1, 1, 1, -1, 0, 1], [-1, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 5, [[0, -1, 1, -1, 0, 0, 1], [0, -1, -1, -1, 0, 0, 1], [0, 1, 1, 1, -1, 0, 1], [-1, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 1, 1]], 4, [[0, -1, 1, -1, 0, 0, 1], [0, -1, -1, -1, 1, 0, 1], [-1, 1, 1, 1, -1, 0, 1], [-1, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 1, 1]]]","[0.099, 0.097, 0.023, 0.25, 0.333]",0.2994659058749676,"[0.108, 0.097, 0.023, 0.25, 0.333]",0.3110782578587532,"[0.155, 0.114, 0.018, 0.25, 0.333]",0.2556842714548111,"[0.125, 0.199, 0.067, 0.25, 0.333]",0.16220586746931076,"[0.125, 0.075, 0.225, 0.361, 0.333]",0.07580339908599854,0.008999999999999994,0.05873670062235365,0.11408768557561329,0.232991416150896
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, 0, -1, -1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 4, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0], [0, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 5, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, -1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 3, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, -1, -1, -1, 1, 0], [-1, 0, 1, 1, 1, -1, 0], [-1, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 6, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [-1, 0, -1, -1, -1, 1, 0], [-1, 0, 1, 1, 1, -1, 0], [-1, 0, 1, 1, -1, 1, 1], [-1, -1, -1, 1, 1, 1, -1]]]","[-0.122, -0.034, -0.188, -0.197, 0.066]",7.539988398551941,"[-0.127, -0.042, -0.194, -0.224, 0.014]",8.289963062852621,"[-0.133, -0.039, -0.179, -0.123, -0.052]",3.4325009509921074,"[-0.119, 0.009, -0.157, 0.103, 0.115]",1.0879920236766338,"[0.063, 0.048, 0.1, 0.033, 0.207]",0.2530807964503765,0.05964897316802696,0.1400963953854631,0.30857738089497094,0.44347942455090295
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, -1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, -1, 1]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 1], [0, -1, -1, 1, 0, -1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, -1, 0, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, -1, 0, 1, 0, 1, 0], [0, -1, 0, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]]]","[-0.002, -0.01, -0.026, 0.004, -0.047]",17.764323595911264,"[-0.005, -0.017, -0.038, 0.003, -0.05]",16.8738455735147,"[-0.024, -0.03, -0.109, -0.005, -0.054]",6.053271543234587,"[-0.052, -0.058, -0.059, -0.089, -0.079]",1.6718101911246777,"[-0.095, -0.095, -0.214, 0.0, -0.452]",0.34827759861946106,0.014560219778561038,0.08889881888979179,0.12476377679438852,0.46396012759718913
"[[[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 0], [0, 0, -1, 1, -1, 0, 0]], 4, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 0], [0, 0, -1, 1, -1, 0, 0]], 0, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 0], [1, 0, -1, 1, -1, -1, 0]], 0, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [1, 0, -1, 1, -1, 0, 0], [1, 0, -1, 1, -1, -1, 0]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [1, 0, -1, 1, -1, -1, 0], [1, 0, -1, 1, -1, -1, 1]], 0, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [1, 0, 1, -1, 1, -1, 0], [1, 0, -1, 1, -1, -1, 0], [1, 0, -1, 1, -1, -1, 1]]]","[0.069, 0.09, 0.145, 0.202, -0.142]",7.3488683849573135,"[0.019, 0.081, 0.118, 0.199, -0.148]",7.631541632115841,"[0.081, 0.049, 0.058, 0.185, -0.172]",2.8472236953675747,"[0.043, -0.02, -0.004, 0.149, -0.194]",0.8287356048822403,"[0.0, -0.2, -0.033, 0.027, -0.253]",0.21190516278147697,0.05792236183029832,0.1028737089833938,0.20122127124138742,0.4043402032942062
"[[[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 0], [1, 0, -1, 1, -1, -1, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 1], [1, 0, -1, 1, -1, -1, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0], [0, 0, 1, 1, -1, 0, -1], [0, 0, 1, -1, 1, 0, 1], [0, 0, -1, 1, -1, 0, 1], [1, 0, -1, 1, -1, -1, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 1], [0, 0, 1, 1, -1, 0, -1], [0, 0, 1, -1, 1, 0, 1], [0, 0, -1, 1, -1, -1, 1], [1, 0, -1, 1, -1, -1, 1]], 0, [[0, 0, -1, 0, -1, 0, 0], [0, 0, 1, -1, -1, 0, 1], [0, 0, 1, 1, -1, 0, -1], [0, 0, 1, -1, 1, 0, 1], [1, 0, -1, 1, -1, -1, 1], [1, 0, -1, 1, -1, -1, 1]], 0, [[0, 0, -1, 0, -1, 0, 0], [0, 0, 1, -1, -1, 0, 1], [0, 0, 1, 1, -1, 0, -1], [1, 0, 1, -1, 1, 0, 1], [1, 0, -1, 1, -1, -1, 1], [1, -1, -1, 1, -1, -1, 1]]]","[0.093, -0.058, 0.292, -0.119, -0.181]",1.698473397642374,"[0.081, -0.062, 0.271, -0.145, -0.187]",1.9191556051373482,"[0.054, -0.062, 0.25, -0.189, -0.214]",1.0080596767365932,"[-0.01, -0.032, 0.218, -0.202, -0.25]",0.3954780511558056,"[0.187, -0.12, 0.44, -0.3, -0.3]",0.1344444565474987,0.03623534186398685,0.09638464608017192,0.16855562879951533,0.2854925568206639
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, -1]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 0, 1, 1, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, -1], [0, 0, 1, 1, 1, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 1, 0, -1], [0, 0, 0, 1, -1, 0, -1], [0, 0, 1, 1, 1, 0, -1], [0, 0, -1, 1, 1, 0, -1]]]","[0.001, 0.005, 0.024, -0.057, -0.116]",21.157070990651846,"[0.005, -0.005, 0.011, -0.069, -0.121]",19.98983295634389,"[0.017, -0.034, -0.017, -0.131, -0.142]",6.228133995085955,"[0.037, 0.04, -0.038, -0.243, -0.202]",1.4994278103113174,"[0.048, 0.119, 0.262, -0.119, -0.357]",0.3128760978579521,0.021307275752662516,0.09803060746521976,0.2199022510116711,0.3657512816108783
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0]], 2, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 0, 0]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [-1, -1, -1, 1, -1, 0, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 4, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]]]","[-0.023, -0.011, -0.008, -0.039, 0.179]",10.990502368658781,"[-0.023, -0.019, -0.058, -0.077, 0.152]",10.997111279517412,"[-0.007, -0.047, -0.011, -0.141, 0.114]",3.8381245210766792,"[-0.119, -0.014, 0.014, -0.237, 0.004]",1.054792445152998,"[0.0, -0.381, 0.2, -0.033, 0.4]",0.23800231143832207,0.06882586723027906,0.12723993083933988,0.28202482160263836,0.47913463661062955
