History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, 0, 1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 2, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, 0, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 5, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, 0, -1, 0], [0, -1, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 5, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, 0, -1, 0], [-1, -1, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, 0]], 5, [[0, 0, -1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, -1, -1, -1, -1, 0], [-1, -1, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, 0]]]","[-0.00472, -0.02799, -0.00769, 0.06986, -0.04167]",5.02627818332985,"[-0.00988, -0.02721, -0.00427, 0.06553, -0.04167]",5.008547036908567,"[-0.023, -0.01593, -0.01737, 0.05926, -0.04167]",1.9129565893672407,"[-0.01361, -0.06236, 0.09333, -0.02778, -0.04167]",0.5574771049432456,"[-0.02381, -0.04762, 0.2, 0.43333, -0.3]",0.1484267902560532,"[-0.02381, -0.04762, 0.2, 0.43333, -0.3]",0.1487320950254798,"[-0.04018, -0.05952, 0.01667, 0.175, -0.13333]",0.33411105908453465,"[-0.02557, -0.0629, -0.00123, 0.14609, -0.11111]",0.7545372531749308,"[-0.02083, -0.05115, 0.0026, 0.08971, -0.06667]",1.5610181358642876,0.9915088796381161,0.9707240627818681,0.8379855754878597,0.44917138452600336,0.44917138452600336,0.8330384127261603,0.8758625323482068,0.9509996900520007
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 0, 1, 1, 0, -1], [0, 0, -1, 1, 1, 0, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 1, 1, 1, 0, -1], [-1, 0, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 1, 1, 1, 0, -1], [-1, 0, -1, 1, 1, 0, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, 1, 1, 1, -1, -1], [-1, 0, -1, 1, 1, 1, -1]]]","[0.00483, 0.02437, -0.05717, -0.0672, 0.07237]",20.093323612120003,"[-0.00463, 0.0108, -0.069, -0.06963, 0.07209]",19.540661362931132,"[-0.03441, -0.01745, -0.13056, -0.07055, 0.07199]",6.341935598757118,"[0.04025, -0.03798, -0.24263, -0.10941, 0.07086]",1.5461052181199193,"[0.11905, 0.2619, -0.11905, -0.28571, 0.09524]",0.3245355701074004,"[0.11905, 0.2619, -0.11905, -0.28571, 0.09524]",0.32391758589074016,"[0.11161, 0.08482, -0.20089, -0.10268, -0.01786]",0.9747102973051369,"[0.03233, 0.04115, -0.11141, -0.09171, -0.01058]",2.495412976015359,"[-0.0027, 0.03144, -0.10389, -0.09766, 0.02629]",5.296015106141567,0.9770988892190794,0.8957997780712537,0.7727295809503577,0.6101835356542773,0.6101835356542773,0.7625344956630542,0.8803064402317318,0.9182945671940965
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 1, -1, 1, 1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, -1, 1, 1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 1, -1, 1, 1, 0, -1]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, -1, 1, 1, 0, 0], [0, 0, 1, -1, 1, 0, 1], [0, 1, -1, 1, 1, 0, -1]], 2, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, -1, 1, 1, 0, 0], [0, -1, 1, -1, 1, 0, 1], [0, 1, -1, 1, 1, 0, -1]], 6, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, -1, -1, 1, 1, 0, 1], [0, -1, 1, -1, 1, 0, 1], [0, 1, -1, 1, 1, 0, -1]], 6, [[0, 0, 1, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, -1, -1, 0, 1], [0, -1, -1, 1, 1, 0, 1], [0, -1, 1, -1, 1, 0, 1], [-1, 1, -1, 1, 1, 0, -1]]]","[-0.07408, -0.01438, -0.07706, -0.06633, -0.12835]",10.379371006041765,"[-0.07787, -0.04596, -0.11981, -0.06878, -0.13174]",10.619113736785948,"[-0.10056, -0.04902, -0.03709, -0.08048, -0.12815]",3.7029763916507363,"[-0.18707, -0.20351, 0.06463, -0.05556, -0.14778]",0.9961003097705543,"[0.02381, 0.16667, 0.07143, 0.13333, -0.23333]",0.2196267256513238,"[0.02381, 0.16667, 0.07143, 0.13333, -0.23333]",0.21884843101724982,"[-0.11012, 0.13988, 0.07738, 0.06875, -0.25417]",0.5725377816706896,"[-0.14727, 0.10141, -0.0435, 0.00247, -0.23333]",1.4944609110243618,"[-0.12556, 0.04222, -0.05385, -0.01623, -0.19414]",3.551520148757845,0.9402430171444374,0.9320019908379664,0.7060899991068694,0.6203690102546948,0.6203690102546948,0.6778509242602114,0.7889176280453528,0.8713979558871633
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, 0, -1, 0, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 1, 0, -1, 0, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, 1, -1, 0, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 4, [[0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 1, 1, -1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 0], [0, -1, -1, 1, -1, 1, 1]], 6, [[0, 0, 0, -1, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0], [0, 1, 1, -1, 1, 1, 0], [0, -1, 1, 1, -1, -1, 1], [0, -1, -1, 1, -1, 1, 1]], 6, [[0, 0, 0, -1, 0, 0, 0], [0, -1, 0, -1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0], [0, 1, 1, -1, 1, 1, 1], [0, -1, 1, 1, -1, -1, 1], [0, -1, -1, 1, -1, 1, 1]]]","[-0.00086, -0.00924, -0.13473, -0.20462, -0.08769]",9.71974033396691,"[-6e-05, -0.01747, -0.16857, -0.19531, -0.09068]",10.056573437992483,"[0.01196, -0.02383, -0.20244, -0.2146, -0.10034]",4.266650865785778,"[-0.07559, -0.04136, -0.08271, -0.30078, -0.08089]",1.4401090857572854,"[0.02381, 0.01984, 0.08333, -0.36, -0.43333]",0.3380246968008578,"[0.02381, 0.01984, 0.08333, -0.36, -0.43333]",0.338494221214205,"[0.04092, 0.01339, -0.07391, -0.185, -0.21333]",0.9944340842776,"[0.01984, -0.00436, -0.13536, -0.19728, -0.14296]",2.411639696918428,"[-0.00178, -0.006, -0.13307, -0.17403, -0.10917]",4.847428842913359,0.9595473316702099,0.9192110194704748,0.8474576562884915,0.5093188753120821,0.5093188753120821,0.8336903802391455,0.9332790344044692,0.9579994330395409
"[[[0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 0, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, -1], [0, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 2, [[0, 0, 1, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, -1], [0, 1, 1, 1, 0, 0, -1], [0, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 4, [[0, 0, 1, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, -1], [0, 1, 1, 1, 0, 0, -1], [-1, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, -1, 1, -1, -1, 1]], 1, [[0, 1, 1, 0, 0, 0, 0], [0, 1, -1, 0, 0, 0, -1], [-1, 1, 1, 1, 0, 0, -1], [-1, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, -1, 1, -1, -1, 1]]]","[-0.02876, -0.10056, -0.0327, 0.02179, -0.00133]",4.688122258055955,"[-0.04853, -0.09915, -0.04035, 0.02335, -0.00133]",4.971698097884655,"[-0.08652, -0.09891, -0.05705, 0.00778, -0.00133]",2.5177618651650846,"[-0.15958, -0.06954, -0.08413, -0.018, -0.01833]",0.9456148860044777,"[-0.03175, -0.12302, 0.06746, 0.06, -0.18667]",0.28522082697600126,"[-0.03175, -0.12302, 0.06746, 0.06, -0.18667]",0.283391993958503,"[-0.13938, -0.14534, -0.03869, 0.05458, -0.06333]",0.6824995488859713,"[-0.1042, -0.10494, -0.04233, 0.03679, -0.02222]",1.486860410310328,"[-0.08854, -0.09663, -0.0355, 0.02962, -0.00708]",2.7622165982611477,0.9761830653735625,0.928165618433789,0.8319471742278637,0.7592814480560337,0.7592814480560337,0.8450923783346991,0.9101076546640372,0.9320726058574305
"[[[0, 0, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 0, -1, 0, 1, 1], [0, -1, 0, 1, 1, -1, 1], [-1, -1, 0, 1, -1, 1, 1]], 2, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, 1, 0, 1, 0, 0, -1], [0, -1, 0, -1, 0, 1, 1], [0, -1, 0, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 5, [[0, -1, 0, 0, 0, 0, 0], [0, -1, 0, -1, 0, 0, 0], [0, 1, 0, 1, 0, 1, -1], [0, -1, 0, -1, 0, 1, 1], [-1, -1, 0, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 5, [[0, -1, 0, 0, 0, -1, 0], [0, -1, 0, -1, 0, 1, 0], [0, 1, 0, 1, 0, 1, -1], [0, -1, 0, -1, 0, 1, 1], [-1, -1, 0, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 2, [[0, -1, 0, 0, 0, -1, 0], [0, -1, 0, -1, 0, 1, 0], [0, 1, 0, 1, 0, 1, -1], [-1, -1, 0, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]], 2, [[0, -1, 0, 0, 0, -1, 0], [0, -1, 0, -1, 0, 1, 0], [0, 1, -1, 1, 0, 1, -1], [-1, -1, 1, -1, 0, 1, 1], [-1, -1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, -1, 1, 1]]]","[-0.01829, -0.09939, -0.10209, -0.11278, -0.07813]",4.935638124123216,"[-0.01891, -0.10725, -0.1144, -0.11478, -0.07813]",5.124398154206574,"[-0.05212, -0.11199, -0.13121, -0.21846, -0.07813]",2.2136309230700135,"[0.10484, -0.29356, -0.124, -0.21125, -0.11125]",0.7622121227905154,"[0.09921, -0.09333, -0.38667, 0.1625, -0.25]",0.2115100841037929,"[0.09921, -0.09333, -0.38667, 0.1625, -0.25]",0.21129289595410228,"[0.06845, -0.10208, -0.30375, 0.00625, -0.2375]",0.5378167680464685,"[-0.00534, -0.12988, -0.20848, -0.11096, -0.14444]",1.2477767998352647,"[-0.031, -0.14641, -0.15439, -0.09006, -0.0875]",2.391982135362923,0.9835037845249281,0.8709677089833712,0.7168562441091099,0.4998161271842124,0.4998161271842124,0.6687811201410765,0.8550150731972458,0.9155036258174352
"[[[0, -1, 1, 0, 0, 0, 0], [0, -1, -1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 0], [0, -1, 1, -1, 1, 0, -1], [0, -1, 1, 1, 1, 0, 1], [0, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 1, 0, 0, 0, 0], [0, -1, -1, -1, 0, 0, 0], [0, 1, 1, 1, -1, 0, 1], [0, -1, 1, -1, 1, 0, -1], [0, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 1, 0, 0, 0, 0], [0, -1, -1, -1, 0, 0, 1], [0, 1, 1, 1, -1, 0, 1], [0, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 6, [[0, -1, 1, 0, 0, 0, 1], [0, -1, -1, -1, 0, 0, 1], [0, 1, 1, 1, -1, 0, 1], [-1, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 0, 1]], 5, [[0, -1, 1, -1, 0, 0, 1], [0, -1, -1, -1, 0, 0, 1], [0, 1, 1, 1, -1, 0, 1], [-1, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 1, 1]], 4, [[0, -1, 1, -1, 0, 0, 1], [0, -1, -1, -1, 1, 0, 1], [-1, 1, 1, 1, -1, 0, 1], [-1, -1, 1, -1, 1, 0, -1], [-1, -1, 1, 1, 1, 0, 1], [-1, -1, -1, 1, -1, 1, 1]]]","[0.0991, 0.09671, 0.02292, 0.25, 0.33333]",0.3450904907658696,"[0.10798, 0.09671, 0.02292, 0.25, 0.33333]",0.35915844794362783,"[0.15482, 0.11431, 0.01806, 0.25, 0.33333]",0.2938506458885968,"[0.125, 0.19896, 0.06667, 0.25, 0.33333]",0.18803542479872704,"[0.125, 0.075, 0.225, 0.36111, 0.33333]",0.0897501427680254,"[0.125, 0.075, 0.225, 0.36111, 0.33333]",0.08900169422850013,"[-0.04531, 0.025, -0.03125, 0.27778, 0.33333]",0.16619931207969785,"[0.13349, 0.09167, 0.0375, 0.25, 0.33333]",0.331322378013283,"[0.10227, 0.07894, 0.02292, 0.25, 0.33333]",0.4080078830011189,0.990071858179901,0.9344437455310326,0.8723288648519173,0.739414379234003,0.739414379234003,0.807312787463724,0.9578596081532219,0.9798188887818337
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, 0, -1, -1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 4, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, -1, -1, -1, 0, 0], [0, 0, 1, 1, 1, -1, 0], [0, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 5, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, -1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 3, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [0, 0, -1, -1, -1, 1, 0], [-1, 0, 1, 1, 1, -1, 0], [-1, 0, 1, 1, -1, 1, 0], [-1, -1, -1, 1, 1, 1, -1]], 6, [[0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, -1, 0, 0], [-1, 0, -1, -1, -1, 1, 0], [-1, 0, 1, 1, 1, -1, 0], [-1, 0, 1, 1, -1, 1, 1], [-1, -1, -1, 1, 1, 1, -1]]]","[-0.12208, -0.0345, -0.18789, -0.19673, 0.06592]",8.864327430725098,"[-0.12726, -0.04222, -0.19361, -0.22363, 0.01408]",9.401903867255896,"[-0.13289, -0.03875, -0.17922, -0.12315, -0.05235]",3.8643050640821457,"[-0.11876, 0.00884, -0.15667, 0.10333, 0.11511]",1.1656464142724872,"[0.06349, 0.04762, 0.1, 0.03333, 0.20667]",0.27756517427042127,"[0.06349, 0.04762, 0.1, 0.03333, 0.20667]",0.28423117520287633,"[-0.12946, -0.0625, -0.16667, 0.0875, 0.24208]",0.8456920101307333,"[-0.17681, -0.09377, -0.2642, -0.01399, 0.11325]",2.136647537816316,"[-0.17719, -0.07896, -0.25977, -0.05913, 0.08393]",4.688317003659904,0.9335719863310666,0.8434277451142764,0.6548193840537971,0.5040177202006104,0.5040177202006104,0.623988379002723,0.7551389210184681,0.8081711107523166
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, -1, 1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, -1, 1]], 6, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 1], [0, -1, -1, 1, 0, -1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, -1, 0, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, -1, 0, 1, 0, 1, 0], [0, -1, 0, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 1], [-1, -1, -1, 1, 0, -1, 1]]]","[-0.0018, -0.01005, -0.02601, 0.00363, -0.04651]",20.544586677104235,"[-0.00495, -0.01725, -0.03847, 0.00339, -0.04973]",20.4487785580568,"[-0.02416, -0.03048, -0.10891, -0.00471, -0.05449]",7.126073654741049,"[-0.05159, -0.05782, -0.05896, -0.089, -0.07937]",1.8778282888233662,"[-0.09524, -0.09524, -0.21429, 0.0, -0.45238]",0.39558275789022446,"[-0.09524, -0.09524, -0.21429, 0.0, -0.45238]",0.3963292227126658,"[-0.04018, -0.0878, -0.18452, -0.01935, -0.2128]",1.1985355578362942,"[-0.01764, -0.0532, -0.06849, -0.01264, -0.14697]",3.0648461622186005,"[-0.00874, -0.03637, -0.06678, -0.01116, -0.10826]",6.38763933070004,0.983138798233815,0.9004824104743288,0.8607752895495918,0.4801666590386877,0.4801666590386877,0.7242647295411775,0.8664227611080391,0.9103137029697401
"[[[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, -1, 1, -1, 0, 0], [0, 0, -1, 1, -1, 0, 0]], 4, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 0], [0, 0, -1, 1, -1, 0, 0]], 0, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 0], [1, 0, -1, 1, -1, -1, 0]], 0, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [1, 0, -1, 1, -1, 0, 0], [1, 0, -1, 1, -1, -1, 0]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [1, 0, -1, 1, -1, -1, 0], [1, 0, -1, 1, -1, -1, 1]], 0, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [1, 0, 1, -1, 1, -1, 0], [1, 0, -1, 1, -1, -1, 0], [1, 0, -1, 1, -1, -1, 1]]]","[0.06859, 0.09, 0.145, 0.20248, -0.1421]",8.454231738112867,"[0.01876, 0.0812, 0.11771, 0.19944, -0.14827]",8.867448317818344,"[0.08096, 0.04948, 0.05822, 0.18531, -0.17244]",3.33132365019992,"[0.04333, -0.02, -0.00444, 0.14867, -0.19378]",0.9766198429279029,"[0.0, -0.2, -0.03333, 0.02667, -0.25333]",0.2515922109596431,"[0.0, -0.2, -0.03333, 0.02667, -0.25333]",0.25130090210586786,"[0.07917, -0.1125, -0.04792, -0.01542, -0.155]",0.8026951751671731,"[-0.02016, -0.21728, -0.06049, 0.08469, -0.18765]",2.1179410871118307,"[0.03242, -0.17526, -0.05812, 0.07668, -0.13273]",4.362695190124214,0.9352647362328692,0.8852122600187633,0.7746205430279858,0.5473861386347078,0.5473861386347078,0.6031638675725205,0.5521258720354567,0.5986860521362358
"[[[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, 0, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 0], [1, 0, -1, 1, -1, -1, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0], [0, 0, 1, 1, -1, 0, 0], [0, 0, 1, -1, 1, 0, 0], [0, 0, -1, 1, -1, 0, 1], [1, 0, -1, 1, -1, -1, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 0], [0, 0, 1, 1, -1, 0, -1], [0, 0, 1, -1, 1, 0, 1], [0, 0, -1, 1, -1, 0, 1], [1, 0, -1, 1, -1, -1, 1]], 6, [[0, 0, -1, 0, 0, 0, 0], [0, 0, 1, -1, -1, 0, 1], [0, 0, 1, 1, -1, 0, -1], [0, 0, 1, -1, 1, 0, 1], [0, 0, -1, 1, -1, -1, 1], [1, 0, -1, 1, -1, -1, 1]], 0, [[0, 0, -1, 0, -1, 0, 0], [0, 0, 1, -1, -1, 0, 1], [0, 0, 1, 1, -1, 0, -1], [0, 0, 1, -1, 1, 0, 1], [1, 0, -1, 1, -1, -1, 1], [1, 0, -1, 1, -1, -1, 1]], 0, [[0, 0, -1, 0, -1, 0, 0], [0, 0, 1, -1, -1, 0, 1], [0, 0, 1, 1, -1, 0, -1], [1, 0, 1, -1, 1, 0, 1], [1, 0, -1, 1, -1, -1, 1], [1, -1, -1, 1, -1, -1, 1]]]","[0.09287, -0.05816, 0.29202, -0.1192, -0.18136]",1.9641158333979547,"[0.08084, -0.06182, 0.27135, -0.14467, -0.18697]",2.2762809712439775,"[0.05449, -0.06219, 0.24964, -0.18857, -0.21357]",1.140326940920204,"[-0.01044, -0.03156, 0.21844, -0.20222, -0.25]",0.4412078713066876,"[0.18667, -0.12, 0.44, -0.3, -0.3]",0.152062248904258,"[0.18667, -0.12, 0.44, -0.3, -0.3]",0.15230010729283094,"[0.05042, -0.11417, 0.2625, -0.19458, -0.26094]",0.36116657592356205,"[0.11959, -0.02181, 0.33317, -0.10757, -0.19765]",0.9090879452414811,"[0.02917, -0.039, 0.3133, -0.17409, -0.18648]",1.724745012819767,0.9602262900900608,0.8931413860514745,0.8115911941415688,0.6812430479189513,0.6812430479189513,0.8507281263934829,0.9281562076446406,0.9005216072455933
